Team,W,L,PCT
"AL EAST,W,L,PCT"
"New York Yankees,94,68,.580"
"Baltimore Orioles,91,71,.562"
"Boston Red Sox,81,81,.500"
"Tampa Bay Rays,80,82,.494"
"Toronto Blue Jays,74,88,.457"
"AL CENTRAL,W,L,PCT"
"Cleveland Guardians,92,69,.571"
"Kansas City Royals,86,76,.531"
"Detroit Tigers,86,76,.531"
"Minnesota Twins,82,80,.506"
"Chicago White Sox,41,121,.253"
"AL WEST,W,L,PCT"
"Houston Astros,88,73,.547"
"Seattle Mariners,85,77,.525"
"Texas Rangers,78,84,.481"
"Oakland Athletics,69,93,.426"
"Los Angeles Angels,63,99,.389"
"NL EAST,W,L,PCT"
"Philadelphia Phillies,95,67,.586"
"Atlanta Braves,89,73,.549"
"New York Mets,89,73,.549"
"Washington Nationals,71,91,.438"
"Miami Marlins,62,100,.383"
"NL CENTRAL,W,L,PCT"
"Milwaukee Brewers,93,69,.574"
"Chicago Cubs,83,79,.512"
"St. Louis Cardinals,83,79,.512"
"Cincinnati Reds,77,85,.475"
"Pittsburgh Pirates,76,86,.469"
"NL WEST,W,L,PCT"
"Los Angeles Dodgers,98,64,.605"
"San Diego Padres,93,69,.574"
"Arizona Diamondbacks,89,73,.549"
"San Francisco Giants,80,82,.494"
"Colorado Rockies,61,101,.377"
